"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year"
"101","H-AB bases loaded","Evan Scully","Jr","P","-","R/R",NA,NA,0,1.2,NA,2,0,0,0,1,NA,8,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,2,NA,NA,NA,NA,NA,NA,NA,597157,2025
"102","Hits-AB vs rhb","Evan Scully","Jr","P","-","R/R",NA,NA,0,54.2,NA,38,0,0,5,39,NA,217,"203",11,NA,1,2,2,9,NA,NA,NA,NA,NA,"",60,55,NA,NA,NA,16,NA,NA,NA,597157,2025
"103","35","Aaron Blinn","Jr","P","-","R/R",4,NA,9,5,NA,5,5,5,1,8,NA,22,"19",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,"55",6,1,NA,NA,NA,4,NA,NA,NA,597157,2025
"104","Succ-Opp against Leadoff Batter","Aaron Blinn","Jr","P","-","R/R",NA,NA,0,1.1,NA,1,0,0,0,2,NA,5,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,1,NA,NA,NA,597157,2025
"105","Hits-AB with runners ob","Aaron Blinn","Jr","P","-","R/R",NA,NA,0,1,NA,4,0,0,1,2,NA,9,"7",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"106","Hits-AB w2outs","Aaron Blinn","Jr","P","-","R/R",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"107","Bases Empty","Aaron Blinn","Jr","P","-","R/R",NA,NA,0,4,NA,1,0,0,0,6,NA,13,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,NA,NA,NA,NA,4,NA,NA,NA,597157,2025
"108","H-AB scorepos","Aaron Blinn","Jr","P","-","R/R",NA,NA,0,1,NA,2,0,0,0,2,NA,6,"5",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"109","H-AB runners2","Aaron Blinn","Jr","P","-","R/R",NA,NA,NA,0,NA,0,0,0,1,0,NA,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"110","H-AB bases loaded","Aaron Blinn","Jr","P","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"111","Hits-AB vs rhb","Aaron Blinn","Jr","P","-","R/R",NA,NA,0,4.2,NA,2,0,0,0,8,NA,16,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,NA,NA,NA,NA,4,NA,NA,NA,597157,2025
"112","11","Charlie Hale","So","P","-","R/R",18,15,2.42,85.2,4,60,29,23,18,92,2,345,"313",9,2,NA,4,1,10,NA,NA,NA,3,1,"1,151",75,83,13,2,1,32,NA,NA,NA,597157,2025
"113","Succ-Opp against Leadoff Batter","Charlie Hale","So","P","-","R/R",NA,NA,0,21.2,NA,13,0,0,7,23,NA,90,"80",4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"",22,20,NA,NA,NA,8,NA,NA,NA,597157,2025
"114","Hits-AB with runners ob","Charlie Hale","So","P","-","R/R",NA,NA,0,32.1,NA,30,0,0,6,37,NA,133,"120",2,1,NA,1,1,4,NA,NA,NA,NA,NA,"",19,31,NA,NA,NA,12,NA,NA,NA,597157,2025
"115","Hits-AB vs lhb","Charlie Hale","So","P","-","R/R",NA,NA,0,19.2,NA,13,0,0,3,15,NA,76,"72",1,NA,NA,1,1,1,NA,NA,NA,NA,NA,"",23,17,NA,NA,NA,8,NA,NA,NA,597157,2025
"116","Hits-AB w2outs","Charlie Hale","So","P","-","R/R",NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"117","Bases Empty","Charlie Hale","So","P","-","R/R",NA,NA,0,53.1,NA,30,0,0,12,55,NA,214,"196",7,1,NA,3,NA,6,NA,NA,NA,NA,NA,"",53,52,NA,NA,NA,20,NA,NA,NA,597157,2025
"118","H-AB scorepos","Charlie Hale","So","P","-","R/R",NA,NA,0,17,NA,16,0,0,5,24,NA,76,"67",2,NA,NA,1,NA,4,NA,NA,NA,NA,NA,"",7,17,NA,NA,NA,7,NA,NA,NA,597157,2025
"119","H-AB scorepos2","Charlie Hale","So","P","-","R/R",NA,NA,0,8.2,NA,10,0,0,2,12,NA,40,"37",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",5,9,NA,NA,NA,3,NA,NA,NA,597157,2025
"120","H-AB runners2","Charlie Hale","So","P","-","R/R",NA,NA,0,13,NA,15,0,0,2,17,NA,58,"55",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",7,14,NA,NA,NA,5,NA,NA,NA,597157,2025
"121","H-AB bases loaded","Charlie Hale","So","P","-","R/R",NA,NA,0,1.1,NA,2,0,0,0,3,NA,7,"6",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,1,NA,NA,NA,597157,2025
"122","Hits-AB vs rhb","Charlie Hale","So","P","-","R/R",NA,NA,0,64.2,NA,42,0,0,13,76,NA,260,"237",8,1,NA,2,NA,8,NA,NA,NA,NA,NA,"",47,66,NA,NA,NA,24,NA,NA,NA,597157,2025
"123","18","Jake Harmony","So","P","-","R/R",17,NA,3.06,35.1,NA,36,15,12,9,26,NA,153,"140",8,NA,NA,1,2,3,NA,NA,NA,NA,1,"526",41,35,5,1,NA,10,1,NA,NA,597157,2025
"124","Succ-Opp against Leadoff Batter","Jake Harmony","So","P","-","R/R",NA,NA,0,7.2,NA,8,0,0,1,4,NA,33,"32",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",14,5,NA,NA,NA,1,NA,NA,NA,597157,2025
"125","Hits-AB with runners ob","Jake Harmony","So","P","-","R/R",NA,NA,0,17.2,NA,18,0,0,5,15,NA,80,"72",6,NA,NA,NA,2,3,NA,NA,NA,NA,NA,"",11,21,NA,NA,NA,3,NA,NA,NA,597157,2025
"126","Hits-AB vs lhb","Jake Harmony","So","P","-","R/R",NA,NA,0,7,NA,5,0,0,2,4,NA,28,"26",1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,"",6,10,NA,NA,NA,1,NA,NA,NA,597157,2025
"127","Hits-AB w2outs","Jake Harmony","So","P","-","R/R",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"128","Bases Empty","Jake Harmony","So","P","-","R/R",NA,NA,0,17.2,NA,18,0,0,4,11,NA,76,"72",2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",28,14,NA,NA,NA,7,NA,NA,NA,597157,2025
"129","H-AB scorepos","Jake Harmony","So","P","-","R/R",NA,NA,0,11.2,NA,9,0,0,4,10,NA,49,"44",3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",8,13,NA,NA,NA,2,NA,NA,NA,597157,2025
"130","H-AB scorepos2","Jake Harmony","So","P","-","R/R",NA,NA,0,5.1,NA,2,0,0,3,4,NA,22,"18",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",5,6,NA,NA,NA,2,NA,NA,NA,597157,2025
"131","H-AB runners2","Jake Harmony","So","P","-","R/R",NA,NA,0,7,NA,6,0,0,3,5,NA,31,"27",2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"",5,9,NA,NA,NA,3,NA,NA,NA,597157,2025
"132","H-AB bases loaded","Jake Harmony","So","P","-","R/R",NA,NA,0,2,NA,1,0,0,0,2,NA,7,"7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"133","Hits-AB vs rhb","Jake Harmony","So","P","-","R/R",NA,NA,0,25.2,NA,29,0,0,5,19,NA,116,"108",6,NA,NA,NA,1,3,NA,NA,NA,NA,NA,"",31,22,NA,NA,NA,9,NA,NA,NA,597157,2025
"134","23","Matt Pappalardo","So","INF","-","R/R",1,NA,20.25,1.1,NA,5,3,3,2,1,NA,11,"9",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44",NA,3,NA,NA,NA,1,NA,NA,NA,597157,2025
"135","Succ-Opp against Leadoff Batter","Matt Pappalardo","So","INF","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"136","Hits-AB with runners ob","Matt Pappalardo","So","INF","-","R/R",NA,NA,0,1.1,NA,4,0,0,2,1,NA,10,"8",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,1,NA,NA,NA,597157,2025
"137","Hits-AB w2outs","Matt Pappalardo","So","INF","-","R/R",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"138","Bases Empty","Matt Pappalardo","So","INF","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"139","H-AB scorepos","Matt Pappalardo","So","INF","-","R/R",NA,NA,0,1.1,NA,3,0,0,2,1,NA,9,"7",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,1,NA,NA,NA,597157,2025
"140","H-AB scorepos2","Matt Pappalardo","So","INF","-","R/R",NA,NA,0,0.1,NA,2,0,0,1,0,NA,4,"3",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"141","H-AB runners2","Matt Pappalardo","So","INF","-","R/R",NA,NA,0,0.1,NA,2,0,0,1,0,NA,4,"3",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"142","H-AB bases loaded","Matt Pappalardo","So","INF","-","R/R",NA,NA,NA,0,NA,1,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"143","Hits-AB vs rhb","Matt Pappalardo","So","INF","-","R/R",NA,NA,0,1.1,NA,5,0,0,2,1,NA,11,"9",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,1,NA,NA,NA,597157,2025
"144","47","Derek Roberts","So","P","-","R/R",6,NA,5.4,8.1,NA,9,5,5,1,11,NA,35,"34",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"145",6,6,NA,NA,1,2,NA,NA,NA,597157,2025
"145","Succ-Opp against Leadoff Batter","Derek Roberts","So","P","-","R/R",NA,NA,0,1.1,NA,3,0,0,0,3,NA,8,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,1,NA,NA,NA,597157,2025
"146","Hits-AB with runners ob","Derek Roberts","So","P","-","R/R",NA,NA,0,4.2,NA,5,0,0,1,6,NA,20,"19",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",1,4,NA,NA,NA,NA,NA,NA,NA,597157,2025
"147","Hits-AB w2outs","Derek Roberts","So","P","-","R/R",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"148","Bases Empty","Derek Roberts","So","P","-","R/R",NA,NA,0,3.2,NA,4,0,0,0,5,NA,16,"16",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,2,NA,NA,NA,2,NA,NA,NA,597157,2025
"149","H-AB scorepos","Derek Roberts","So","P","-","R/R",NA,NA,0,2.1,NA,3,0,0,0,4,NA,10,"10",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,NA,NA,597157,2025
"150","H-AB scorepos2","Derek Roberts","So","P","-","R/R",NA,NA,0,1.1,NA,0,0,0,0,4,NA,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"151","H-AB runners2","Derek Roberts","So","P","-","R/R",NA,NA,0,1.1,NA,1,0,0,0,4,NA,6,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"152","Hits-AB vs rhb","Derek Roberts","So","P","-","R/R",NA,NA,0,8.1,NA,9,0,0,1,11,NA,36,"35",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",5,6,NA,NA,NA,2,NA,NA,NA,597157,2025
"153","16","Ben Gill","Fr","P","-","R/R",12,NA,3.77,14.1,NA,13,6,6,7,11,NA,63,"50",2,NA,NA,NA,1,2,1,NA,NA,4,NA,"238",18,11,4,NA,NA,5,NA,NA,NA,597157,2025
"154","Succ-Opp against Leadoff Batter","Ben Gill","Fr","P","-","R/R",NA,NA,0,2,NA,4,0,0,2,0,NA,12,"10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1,NA,NA,NA,NA,NA,NA,NA,597157,2025
"155","Hits-AB with runners ob","Ben Gill","Fr","P","-","R/R",NA,NA,0,10,NA,6,0,0,4,7,NA,40,"30",1,NA,NA,NA,1,2,1,NA,NA,NA,NA,"",13,7,NA,NA,NA,4,NA,NA,NA,597157,2025
"156","Hits-AB vs lhb","Ben Gill","Fr","P","-","R/R",NA,NA,0,0.2,NA,3,0,0,0,1,NA,5,"5",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,NA,NA,NA,597157,2025
"157","Hits-AB w2outs","Ben Gill","Fr","P","-","R/R",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"158","Bases Empty","Ben Gill","Fr","P","-","R/R",NA,NA,0,4.1,NA,7,0,0,3,4,NA,23,"20",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,4,NA,NA,NA,1,NA,NA,NA,597157,2025
"159","H-AB scorepos","Ben Gill","Fr","P","-","R/R",NA,NA,0,7,NA,5,0,0,2,5,NA,29,"24",NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,"",8,7,NA,NA,NA,3,NA,NA,NA,597157,2025
"160","H-AB scorepos2","Ben Gill","Fr","P","-","R/R",NA,NA,0,3.1,NA,2,0,0,2,1,NA,14,"12",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",4,5,NA,NA,NA,NA,NA,NA,NA,597157,2025
"161","H-AB runners2","Ben Gill","Fr","P","-","R/R",NA,NA,0,4,NA,3,0,0,2,2,NA,17,"15",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",5,5,NA,NA,NA,1,NA,NA,NA,597157,2025
"162","H-AB bases loaded","Ben Gill","Fr","P","-","R/R",NA,NA,0,1.1,NA,1,0,0,0,1,NA,5,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"163","Hits-AB vs rhb","Ben Gill","Fr","P","-","R/R",NA,NA,0,13.2,NA,9,0,0,7,10,NA,57,"44",NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,"",18,10,NA,NA,NA,4,NA,NA,NA,597157,2025
"164","25","Grady Vanidestine","Fr","P","-","R/R",10,NA,6.48,8.1,NA,5,6,6,7,11,NA,37,"29",2,NA,NA,1,2,1,NA,NA,NA,NA,NA,"123",6,7,NA,NA,1,4,NA,NA,NA,597157,2025
"165","Succ-Opp against Leadoff Batter","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,2,NA,0,0,0,2,2,NA,8,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"166","Hits-AB with runners ob","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,3.2,NA,3,0,0,3,5,NA,17,"13",2,NA,NA,1,2,1,NA,NA,NA,NA,NA,"",1,4,NA,NA,NA,1,NA,NA,NA,597157,2025
"167","Hits-AB vs lhb","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,0.2,NA,0,0,0,0,1,NA,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,NA,NA,NA,597157,2025
"168","Hits-AB w2outs","Grady Vanidestine","Fr","P","-","R/R",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"169","Bases Empty","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,4.2,NA,2,0,0,4,6,NA,20,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,3,NA,NA,NA,3,NA,NA,NA,597157,2025
"170","H-AB scorepos","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,2,NA,3,0,0,1,3,NA,11,"9",2,NA,NA,1,1,1,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,1,NA,NA,NA,597157,2025
"171","H-AB scorepos2","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,1.1,NA,0,0,0,1,2,NA,5,"4",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"172","H-AB runners2","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,1.2,NA,0,0,0,1,2,NA,6,"5",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"",NA,3,NA,NA,NA,1,NA,NA,NA,597157,2025
"173","H-AB bases loaded","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,0.2,NA,0,0,0,0,0,NA,2,"2",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,NA,NA,597157,2025
"174","Hits-AB vs rhb","Grady Vanidestine","Fr","P","-","R/R",NA,NA,0,7.2,NA,5,0,0,7,10,NA,35,"27",2,NA,NA,1,2,1,NA,NA,NA,NA,NA,"",6,6,NA,NA,NA,3,NA,NA,NA,597157,2025
"175","34","Colby Correia","Fr","P","-","R/R",8,1,2.89,9.1,NA,10,5,3,7,9,NA,46,"38",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"191",10,9,1,NA,NA,2,NA,NA,NA,597157,2025
"176","Succ-Opp against Leadoff Batter","Colby Correia","Fr","P","-","R/R",NA,NA,0,3,NA,1,0,0,1,3,NA,11,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,2,NA,NA,NA,1,NA,NA,NA,597157,2025
"177","Hits-AB with runners ob","Colby Correia","Fr","P","-","R/R",NA,NA,0,3.2,NA,5,0,0,4,2,NA,21,"17",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,5,NA,NA,NA,NA,NA,NA,NA,597157,2025
"178","Hits-AB vs lhb","Colby Correia","Fr","P","-","R/R",NA,NA,0,0.2,NA,0,0,0,0,0,NA,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,NA,NA,597157,2025
"179","Hits-AB w2outs","Colby Correia","Fr","P","-","R/R",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"180","Bases Empty","Colby Correia","Fr","P","-","R/R",NA,NA,0,5.2,NA,5,0,0,3,7,NA,25,"22",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",6,4,NA,NA,NA,2,NA,NA,NA,597157,2025
"181","H-AB scorepos","Colby Correia","Fr","P","-","R/R",NA,NA,0,2.1,NA,3,0,0,3,0,NA,13,"10",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,4,NA,NA,NA,NA,NA,NA,NA,597157,2025
"182","H-AB scorepos2","Colby Correia","Fr","P","-","R/R",NA,NA,0,1.2,NA,2,0,0,3,0,NA,10,"7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,3,NA,NA,NA,NA,NA,NA,NA,597157,2025
"183","H-AB runners2","Colby Correia","Fr","P","-","R/R",NA,NA,0,2,NA,2,0,0,3,0,NA,11,"8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,3,NA,NA,NA,NA,NA,NA,NA,597157,2025
"184","H-AB bases loaded","Colby Correia","Fr","P","-","R/R",NA,NA,0,0.1,NA,0,0,0,0,0,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"185","Hits-AB vs rhb","Colby Correia","Fr","P","-","R/R",NA,NA,0,8.2,NA,9,0,0,7,9,NA,43,"36",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",10,7,NA,NA,NA,2,NA,NA,NA,597157,2025
"186","46","Max Jarvie","Fr","UT","-","R/R",12,NA,2.3,15.2,NA,14,6,4,6,16,NA,71,"61",6,NA,NA,NA,1,2,NA,NA,NA,1,1,"221",16,14,NA,NA,NA,3,NA,NA,NA,597157,2025
"187","Succ-Opp against Leadoff Batter","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,3.2,NA,2,0,0,1,4,NA,14,"13",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",4,3,NA,NA,NA,2,NA,NA,NA,597157,2025
"188","Hits-AB with runners ob","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,9,NA,9,0,0,2,9,NA,40,"37",4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"",5,10,NA,NA,NA,1,NA,NA,NA,597157,2025
"189","Hits-AB vs lhb","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,3.1,NA,2,0,0,0,1,NA,14,"13",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,6,NA,NA,NA,NA,NA,NA,NA,597157,2025
"190","Hits-AB w2outs","Max Jarvie","Fr","UT","-","R/R",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"191","Bases Empty","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,6.2,NA,5,0,0,4,7,NA,31,"26",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",9,4,NA,NA,NA,2,NA,NA,NA,597157,2025
"192","H-AB scorepos","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,6,NA,5,0,0,2,8,NA,27,"24",4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,6,NA,NA,NA,1,NA,NA,NA,597157,2025
"193","H-AB scorepos2","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,2.2,NA,3,0,0,0,3,NA,11,"11",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,2,NA,NA,NA,NA,NA,NA,NA,597157,2025
"194","H-AB runners2","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,4,NA,3,0,0,0,3,NA,15,"15",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",5,4,NA,NA,NA,NA,NA,NA,NA,597157,2025
"195","H-AB bases loaded","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,0.2,NA,2,0,0,0,1,NA,3,"3",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"196","Hits-AB vs rhb","Max Jarvie","Fr","UT","-","R/R",NA,NA,0,11.2,NA,11,0,0,5,15,NA,54,"48",4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,"",10,8,NA,NA,NA,3,NA,NA,NA,597157,2025
"197","-","Totals","-","-","-","-",NA,NA,3.13,434,7,368,181,151,155,402,7,NA,"1,610",70,10,7,17,20,63,1,NA,NA,15,20,"6,251",430,401,NA,NA,9,130,5,NA,NA,597157,2025
"198","Succ-Opp against Leadoff Batter","Totals","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"199","Hits-AB with runners ob","Totals","-","-","-","-",NA,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,"752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"200","Hits-AB vs lhb","Totals","-","-","-","-",NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"201","Hits-AB w2outs","Totals","-","-","-","-",NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,"511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,597157,2025
"202","Bases Empty","Totals","-","-","-","-",NA,NA,0,215.2,NA,190,0,0,83,210,NA,968,"858",36,4,NA,13,2,27,NA,NA,NA,NA,NA,"",239,197,NA,NA,NA,75,NA,NA,NA,597157,2025
"203","H-AB scorepos","Totals","-","-","-","-",NA,NA,0,124.2,NA,105,0,0,42,121,NA,533,"463",21,5,7,2,11,20,1,NA,NA,NA,NA,"",93,120,NA,NA,NA,35,NA,NA,NA,597157,2025
"204","H-AB scorepos2","Totals","-","-","-","-",NA,NA,0,54.2,NA,44,0,0,25,56,NA,241,"211",12,2,1,NA,5,5,1,NA,NA,NA,NA,"",47,54,NA,NA,NA,15,NA,NA,NA,597157,2025
"205","H-AB runners2","Totals","-","-","-","-",NA,NA,0,83.2,NA,65,0,0,32,78,NA,363,"321",16,2,1,1,8,10,1,NA,NA,NA,NA,"",76,83,NA,NA,NA,24,NA,NA,NA,597157,2025
"206","H-AB bases loaded","Totals","-","-","-","-",NA,NA,0,18,NA,13,0,0,2,20,NA,67,"62",4,NA,NA,NA,1,2,NA,NA,NA,NA,NA,"",13,12,NA,NA,NA,7,NA,NA,NA,597157,2025
"207","Hits-AB vs rhb","Totals","-","-","-","-",NA,NA,0,350.1,NA,283,0,0,124,346,NA,NA,"1,323",54,6,7,12,15,53,1,NA,NA,NA,NA,"",329,303,NA,NA,NA,109,NA,NA,NA,597157,2025
