"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"597","11","Marshall Ingram","So","P","5-7","R/R",5,1,12.08,12.2,0,24,19,17,12,14,0,73,58,3,0,1,0,1,2,0,0,0,0,1,293,5,14,0,1,0,6,2,58,0.413793103448276,597262,2025,0.736842105263158,0.263157894736842,0.191780821917808,0.164383561643836,0.520547945205479,21,0.98606518658479
"598","Succ-Opp against Leadoff Batter","Marshall Ingram","So","P","5-7","R/R",0,0,0,2.1,0,3,0,0,2,4,0,13,11,0,0,0,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,4,0,11,0.272727272727273,597262,2025,1,0,0.307692307692308,0.153846153846154,0.384615384615385,3,0.657342657342657
"599","Hits-AB with runners ob","Marshall Ingram","So","P","5-7","R/R",0,0,0,8,0,18,0,0,9,8,0,50,39,3,0,1,0,1,2,0,0,0,0,0,NA,2,9,0,0,0,2,0,39,0.461538461538462,597262,2025,0.818181818181818,0.181818181818182,0.16,0.18,0.58,15,1.11846153846154
"600","Hits-AB vs lhb","Marshall Ingram","So","P","5-7","R/R",0,0,0,1.1,0,1,0,0,3,0,0,9,6,0,0,1,0,0,0,0,0,0,0,0,NA,2,2,0,0,0,0,0,6,0.166666666666667,597262,2025,0.5,0.5,0,0.333333333333333,0.444444444444444,1,0.611111111111111
"601","Hits-AB w2outs","Marshall Ingram","So","P","5-7","R/R",0,0,0,0,0,10,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597262,2025,NA,NA,NA,NA,Inf,10,Inf
"602","Bases Empty","Marshall Ingram","So","P","5-7","R/R",0,0,0,4.2,0,6,0,0,3,6,0,24,21,0,0,0,0,0,0,0,0,0,0,0,NA,3,5,0,0,0,4,0,21,0.285714285714286,597262,2025,0.625,0.375,0.25,0.125,0.375,6,0.660714285714286
"603","H-AB scorepos","Marshall Ingram","So","P","5-7","R/R",0,0,0,7,0,11,0,0,9,7,0,39,29,2,0,0,0,0,1,0,0,0,0,0,NA,2,7,0,0,0,2,0,29,0.379310344827586,597262,2025,0.777777777777778,0.222222222222222,0.17948717948718,0.230769230769231,0.538461538461538,9,0.986737400530504
"604","H-AB scorepos2","Marshall Ingram","So","P","5-7","R/R",0,0,0,3.2,0,7,0,0,4,5,0,21,16,1,0,0,0,0,1,0,0,0,0,0,NA,1,2,0,0,0,2,0,16,0.4375,597262,2025,0.666666666666667,0.333333333333333,0.238095238095238,0.19047619047619,0.571428571428571,6,1.07142857142857
"605","H-AB runners2","Marshall Ingram","So","P","5-7","R/R",0,0,0,3.2,0,9,0,0,4,5,0,24,18,2,0,0,0,0,2,0,0,0,0,0,NA,1,2,0,0,0,2,0,18,0.5,597262,2025,0.666666666666667,0.333333333333333,0.208333333333333,0.166666666666667,0.625,7,1.23611111111111
"606","H-AB bases loaded","Marshall Ingram","So","P","5-7","R/R",0,0,0,2.1,0,2,0,0,2,2,0,11,8,0,0,0,0,0,1,0,0,0,0,0,NA,1,3,0,0,0,0,0,8,0.25,597262,2025,0.75,0.25,0.181818181818182,0.181818181818182,0.454545454545455,2,0.704545454545455
"607","Hits-AB vs rhb","Marshall Ingram","So","P","5-7","R/R",0,0,0,10.2,0,22,0,0,9,14,0,62,51,3,0,0,0,1,2,0,0,0,0,0,NA,3,11,0,0,0,6,0,51,0.431372549019608,597262,2025,0.785714285714286,0.214285714285714,0.225806451612903,0.145161290322581,0.532258064516129,19,1.0224541429475
"608","13","Ryan Bohrman","Fr","P","6-2","R/R",7,0,8.68,9.1,0,19,11,9,5,7,0,51,45,1,0,0,4,1,0,0,2,1,1,0,187,8,11,0,0,0,2,0,45,0.422222222222222,597262,2025,0.578947368421053,0.421052631578947,0.137254901960784,0.0980392156862745,0.48,14,1.19111111111111
"609","Succ-Opp against Leadoff Batter","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,1.1,0,2,0,0,1,4,0,8,7,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,7,0.285714285714286,597262,2025,NA,NA,0.5,0.125,0.375,1,1.08928571428571
"610","Hits-AB with runners ob","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,7,0,12,0,0,2,3,0,33,30,0,0,0,3,1,0,0,0,0,0,0,NA,6,10,0,0,0,1,0,31,0.387096774193548,597262,2025,0.625,0.375,0.0909090909090909,0.0606060606060606,0.424242424242424,9,1.10166177908113
"611","Hits-AB vs lhb","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,1,0,2,0,0,1,1,0,6,5,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,5,0.4,597262,2025,1,0,0.166666666666667,0.166666666666667,0.5,2,0.9
"612","Hits-AB w2outs","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597262,2025,NA,NA,NA,NA,Inf,5,Inf
"613","Bases Empty","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,2.1,0,7,0,0,3,4,0,18,15,1,0,0,1,0,0,0,0,0,0,0,NA,2,1,0,0,0,1,0,15,0.466666666666667,597262,2025,0.333333333333333,0.666666666666667,0.222222222222222,0.166666666666667,0.555555555555556,5,1.28888888888889
"614","H-AB scorepos","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,3.1,0,9,0,0,1,0,0,20,19,0,0,0,3,0,0,0,0,0,0,0,NA,2,8,0,0,0,0,0,19,0.473684210526316,597262,2025,0.8,0.2,0,0.05,0.5,6,1.44736842105263
"615","H-AB scorepos2","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,2.1,0,3,0,0,0,0,0,10,10,0,0,0,2,0,0,0,0,0,0,0,NA,2,5,0,0,0,0,0,10,0.3,597262,2025,0.714285714285714,0.285714285714286,0,0,0.3,1,1.2
"616","H-AB runners2","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,3,0,4,0,0,0,1,0,13,13,0,0,0,2,0,0,0,0,0,0,0,NA,2,6,0,0,0,1,0,13,0.307692307692308,597262,2025,0.75,0.25,0.0769230769230769,0,0.307692307692308,2,1.07692307692308
"617","H-AB bases loaded","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,0.1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,597262,2025,1,0,0,0.5,0.5,0,0.5
"618","Hits-AB vs rhb","Ryan Bohrman","Fr","P","6-2","R/R",0,0,0,8.1,0,17,0,0,4,6,0,45,40,1,0,0,4,0,0,0,0,0,0,0,NA,8,9,0,0,0,2,0,41,0.414634146341463,597262,2025,0.529411764705882,0.470588235294118,0.133333333333333,0.0888888888888889,0.466666666666667,12,1.19837398373984
"619","-","Totals","-","-","-","-",0,0,9.41,265,1,426,319,277,161,178,0,0,NA,83,10,4,26,31,63,2,0,0,12,27,NA,238,330,0,0,6,58,7,-265,-1.60754716981132,597262,2025,0.580985915492958,0.419014084507042,Inf,Inf,-46.4285714285714,307,-48.7191374663073
"620","Succ-Opp against Leadoff Batter","Totals","-","-","-","-",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,597262,2025,NA,NA,NA,NA,NA,0,NA
"621","Hits-AB with runners ob","Totals","-","-","-","-",0,0,0,0,0,261,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597262,2025,NA,NA,NA,NA,Inf,261,Inf
"622","Hits-AB vs lhb","Totals","-","-","-","-",0,0,0,0,0,70,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597262,2025,NA,NA,NA,NA,Inf,70,Inf
"623","Hits-AB w2outs","Totals","-","-","-","-",0,0,0,0,0,137,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597262,2025,NA,NA,NA,NA,Inf,137,Inf
"624","Bases Empty","Totals","-","-","-","-",0,0,0,92,0,165,0,0,59,82,0,535,452,33,4,0,9,0,24,0,0,0,0,0,NA,78,115,0,0,0,28,0,452,0.365044247787611,597262,2025,0.595854922279793,0.404145077720207,0.153271028037383,0.110280373831776,0.463551401869159,119,0.979038127532876
"625","H-AB scorepos","Totals","-","-","-","-",0,0,0,113,0,189,0,0,76,64,0,648,535,35,5,2,16,17,31,2,0,0,0,0,NA,109,150,0,0,0,16,0,539,0.350649350649351,597262,2025,0.579150579150579,0.420849420849421,0.0987654320987654,0.117283950617284,0.458204334365325,133,0.981395428984991
"626","H-AB scorepos2","Totals","-","-","-","-",0,0,0,47.1,0,82,0,0,34,26,0,278,228,16,2,1,9,7,16,1,0,0,0,0,NA,44,66,0,0,0,9,0,227,0.361233480176211,597262,2025,0.6,0.4,0.0935251798561151,0.122302158273381,0.476534296028881,55,1.04481623435487
"627","H-AB runners2","Totals","-","-","-","-",0,0,0,64,0,102,0,0,43,37,0,359,299,21,2,2,10,9,17,1,0,0,0,0,NA,54,91,0,0,0,14,0,298,0.342281879194631,597262,2025,0.627586206896552,0.372413793103448,0.103064066852368,0.119777158774373,0.452513966480447,69,0.97935960406434
"628","H-AB bases loaded","Totals","-","-","-","-",0,0,0,25.1,0,32,0,0,10,12,0,120,104,8,1,1,2,1,5,0,0,0,0,0,NA,22,33,0,0,0,1,0,105,0.304761904761905,597262,2025,0.6,0.4,0.1,0.0833333333333333,0.391666666666667,21,0.848809523809524
"629","Hits-AB vs rhb","Totals","-","-","-","-",0,0,0,216.1,0,354,0,0,135,153,0,0,NA,69,9,2,22,26,53,2,0,0,0,0,NA,186,267,0,0,0,52,0,-190,-1.86315789473684,597262,2025,0.589403973509934,0.410596026490066,Inf,Inf,-271,254,-273.668421052632
"630","-","Opponent Totals","-","-","-","-",0,0,4.19,270.2,4,269,158,126,117,237,2,0,NA,53,7,3,13,31,32,0,0,0,10,14,NA,296,247,0,0,5,70,0,-173,-1.55491329479769,597262,2025,0.4548802946593,0.5451197053407,Inf,Inf,-41.8,196,-43.9676300578035
"631","38","Troy Donohue","Sr","P","6-3","L/L",15,0,6.1,20.2,0,23,22,14,7,16,0,102,85,1,0,0,4,3,7,0,2,0,2,1,282,22,23,1,3,3,1,0,85,0.270588235294118,597070,2025,0.511111111111111,0.488888888888889,0.156862745098039,0.0686274509803922,0.37,18,0.793529411764706
"632","Succ-Opp against Leadoff Batter","Troy Donohue","Sr","P","6-3","L/L",0,0,0,4.2,0,4,0,0,1,3,0,22,19,1,0,0,0,0,2,0,0,0,0,0,NA,7,4,0,0,0,0,0,19,0.210526315789474,597070,2025,0.363636363636364,0.636363636363636,0.136363636363636,0.0454545454545455,0.318181818181818,3,0.58133971291866
"633","Hits-AB with runners ob","Troy Donohue","Sr","P","6-3","L/L",0,0,0,8.2,0,14,0,0,4,5,0,49,40,0,0,0,2,3,3,0,0,0,0,0,NA,9,11,0,0,0,0,0,42,0.333333333333333,597070,2025,0.55,0.45,0.102040816326531,0.0816326530612245,0.428571428571429,12,0.904761904761905
"634","Hits-AB vs lhb","Troy Donohue","Sr","P","6-3","L/L",0,0,0,3.2,0,10,0,0,2,3,0,26,22,0,0,0,0,2,2,0,0,0,0,0,NA,7,1,0,0,0,0,0,22,0.454545454545455,597070,2025,0.125,0.875,0.115384615384615,0.0769230769230769,0.538461538461538,10,0.993006993006993
"635","Hits-AB w2outs","Troy Donohue","Sr","P","6-3","L/L",0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,5,Inf
"636","Bases Empty","Troy Donohue","Sr","P","6-3","L/L",0,0,0,12,0,9,0,0,3,11,0,53,46,1,0,0,2,0,4,0,0,0,0,0,NA,13,12,0,0,0,1,0,46,0.195652173913043,597070,2025,0.48,0.52,0.207547169811321,0.0566037735849057,0.30188679245283,6,0.649712879409352
"637","H-AB scorepos","Troy Donohue","Sr","P","6-3","L/L",0,0,0,5.1,0,9,0,0,3,2,0,34,27,0,0,0,0,2,3,0,0,0,0,0,NA,6,8,0,0,0,0,0,28,0.321428571428571,597070,2025,0.571428571428571,0.428571428571429,0.0588235294117647,0.0882352941176471,0.441176470588235,9,0.762605042016807
"638","H-AB scorepos2","Troy Donohue","Sr","P","6-3","L/L",0,0,0,1.2,0,1,0,0,1,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,NA,2,3,0,0,0,0,0,7,0.142857142857143,597070,2025,0.6,0.4,0,0.125,0.25,1,0.392857142857143
"639","H-AB runners2","Troy Donohue","Sr","P","6-3","L/L",0,0,0,3.1,0,3,0,0,1,1,0,15,14,0,0,0,1,0,0,0,0,0,0,0,NA,4,5,0,0,0,0,0,14,0.214285714285714,597070,2025,0.555555555555556,0.444444444444444,0.0666666666666667,0.0666666666666667,0.266666666666667,2,0.695238095238095
"640","H-AB bases loaded","Troy Donohue","Sr","P","6-3","L/L",0,0,0,0.1,0,1,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,0,0,2,0.5,597070,2025,1,0,0,0,0.666666666666667,1,1.16666666666667
"641","Hits-AB vs rhb","Troy Donohue","Sr","P","6-3","L/L",0,0,0,17,0,13,0,0,5,13,0,76,64,1,0,0,4,1,5,0,0,0,0,0,NA,15,22,0,0,0,1,0,66,0.196969696969697,597070,2025,0.594594594594595,0.405405405405405,0.171052631578947,0.0657894736842105,0.302631578947368,8,0.696570972886762
"642","36","Jared Kuryan","Sr","P","6-0","R/R",11,10,3.86,63,2,51,30,27,22,49,0,269,233,7,1,0,0,5,10,0,0,0,2,2,699,68,63,4,3,0,8,6,233,0.218884120171674,597070,2025,0.480916030534351,0.519083969465649,0.182156133828996,0.0817843866171004,0.310861423220974,43,0.568372152834708
"643","Succ-Opp against Leadoff Batter","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,16.1,0,12,0,0,1,14,0,65,61,2,0,0,0,0,3,0,0,0,0,0,NA,22,13,0,0,0,2,0,61,0.19672131147541,597070,2025,0.371428571428571,0.628571428571429,0.215384615384615,0.0153846153846154,0.246153846153846,10,0.475662042875158
"644","Hits-AB with runners ob","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,27.2,0,26,0,0,8,20,0,121,107,5,0,0,0,5,4,0,0,0,0,0,NA,26,28,0,0,0,5,0,109,0.238532110091743,597070,2025,0.518518518518518,0.481481481481481,0.165289256198347,0.0661157024793388,0.31404958677686,21,0.59845325650163
"645","Hits-AB vs lhb","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,13,0,14,0,0,7,7,0,64,54,2,0,0,0,1,3,0,0,0,0,0,NA,21,10,0,0,0,2,0,54,0.259259259259259,597070,2025,0.32258064516129,0.67741935483871,0.109375,0.109375,0.375,12,0.671296296296296
"646","Hits-AB w2outs","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,0,0,22,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,22,Inf
"647","Bases Empty","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,35.1,0,25,0,0,14,29,0,155,135,2,1,0,0,0,6,0,0,0,0,0,NA,42,35,0,0,0,3,0,135,0.185185185185185,597070,2025,0.454545454545455,0.545454545454545,0.187096774193548,0.0903225806451613,0.290322580645161,22,0.505137395459976
"648","H-AB scorepos","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,12,0,20,0,0,2,8,0,60,54,4,0,0,0,3,3,0,0,0,0,0,NA,10,15,0,0,0,1,0,55,0.363636363636364,597070,2025,0.6,0.4,0.133333333333333,0.0333333333333333,0.416666666666667,16,0.853030303030303
"649","H-AB scorepos2","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,4.2,0,13,0,0,1,3,0,31,27,3,0,0,0,1,3,0,0,0,0,0,NA,4,7,0,0,0,0,0,27,0.481481481481481,597070,2025,0.636363636363636,0.363636363636364,0.0967741935483871,0.032258064516129,0.548387096774194,10,1.14097968936679
"650","H-AB runners2","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,13.1,0,16,0,0,3,10,0,63,57,4,0,0,0,1,3,0,0,0,0,0,NA,13,13,0,0,0,2,0,57,0.280701754385965,597070,2025,0.5,0.5,0.158730158730159,0.0476190476190476,0.349206349206349,12,0.700083542188805
"651","H-AB bases loaded","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,0.2,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,2,0.5,597070,2025,0,1,0,0,0.5,0,1.5
"652","Hits-AB vs rhb","Jared Kuryan","Sr","P","6-0","R/R",0,0,0,50,0,37,0,0,15,42,0,212,188,5,1,0,0,4,7,0,0,0,0,0,NA,47,53,0,0,0,6,0,190,0.194736842105263,597070,2025,0.53,0.47,0.19811320754717,0.0707547169811321,0.278301886792453,31,0.509880834160874
"653","8","Matt Lauria","Sr","P","6-4","R/R",11,11,2.62,68.2,5,63,21,20,13,81,3,292,263,4,1,0,2,4,9,0,0,0,5,2,591,68,47,6,2,0,26,2,263,0.239543726235741,597070,2025,0.408695652173913,0.591304347826087,0.277397260273973,0.0445205479452055,0.29616724738676,56,0.581338350048357
"654","Succ-Opp against Leadoff Batter","Matt Lauria","Sr","P","6-4","R/R",0,0,0,14.2,0,15,0,0,2,23,0,69,65,1,0,0,0,0,2,0,0,0,0,0,NA,14,7,0,0,0,5,0,65,0.230769230769231,597070,2025,0.333333333333333,0.666666666666667,0.333333333333333,0.0289855072463768,0.27536231884058,14,0.521516164994426
"655","Hits-AB with runners ob","Matt Lauria","Sr","P","6-4","R/R",0,0,0,38,0,29,0,0,6,41,0,147,133,1,1,0,1,4,3,0,0,0,0,0,NA,33,28,0,0,0,15,0,138,0.210144927536232,597070,2025,0.459016393442623,0.540983606557377,0.27891156462585,0.0408163265306122,0.258503401360544,26,0.512126589766341
"656","Hits-AB vs lhb","Matt Lauria","Sr","P","6-4","R/R",0,0,0,12.1,0,15,0,0,3,10,0,60,55,2,1,0,0,1,0,0,0,0,0,0,NA,13,14,0,0,0,4,0,57,0.263157894736842,597070,2025,0.518518518518518,0.481481481481481,0.166666666666667,0.05,0.3,12,0.633333333333333
"657","Hits-AB w2outs","Matt Lauria","Sr","P","6-4","R/R",0,0,0,0,0,21,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,21,Inf
"658","Bases Empty","Matt Lauria","Sr","P","6-4","R/R",0,0,0,30.2,0,34,0,0,7,40,0,149,136,3,0,0,1,0,6,0,0,0,0,0,NA,33,19,0,0,0,11,0,136,0.25,597070,2025,0.365384615384615,0.634615384615385,0.268456375838926,0.0469798657718121,0.315436241610738,30,0.609553888669562
"659","H-AB scorepos","Matt Lauria","Sr","P","6-4","R/R",0,0,0,20.2,0,15,0,0,4,21,0,79,73,0,0,0,0,1,1,0,0,0,0,0,NA,22,14,0,0,0,10,0,74,0.202702702702703,597070,2025,0.388888888888889,0.611111111111111,0.265822784810127,0.0506329113924051,0.253164556962025,15,0.455867259664728
"660","H-AB scorepos2","Matt Lauria","Sr","P","6-4","R/R",0,0,0,9.2,0,5,0,0,3,8,0,37,34,0,0,0,0,1,0,0,0,0,0,0,NA,12,9,0,0,0,4,0,34,0.147058823529412,597070,2025,0.428571428571429,0.571428571428571,0.216216216216216,0.0810810810810811,0.216216216216216,5,0.363275039745628
"661","H-AB runners2","Matt Lauria","Sr","P","6-4","R/R",0,0,0,15.1,0,11,0,0,5,16,0,63,57,1,0,0,1,1,1,0,0,0,0,0,NA,15,13,0,0,0,6,0,57,0.192982456140351,597070,2025,0.464285714285714,0.535714285714286,0.253968253968254,0.0793650793650794,0.26984126984127,9,0.532999164578112
"662","H-AB bases loaded","Matt Lauria","Sr","P","6-4","R/R",0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,0,0,4,0,597070,2025,0.666666666666667,0.333333333333333,0,0,0,0,0
"663","Hits-AB vs rhb","Matt Lauria","Sr","P","6-4","R/R",0,0,0,56.1,0,48,0,0,10,71,0,236,214,2,0,0,2,3,9,0,0,0,0,0,NA,53,33,0,0,0,22,0,217,0.221198156682028,597070,2025,0.383720930232558,0.616279069767442,0.300847457627119,0.0423728813559322,0.283898305084746,44,0.541962821213778
"664","45","Andrew Melone","Jr","P","5-11","R/R",11,0,9.9,10,0,19,16,11,5,7,0,62,52,1,0,0,1,3,4,0,0,0,0,1,207,8,16,1,3,1,2,0,52,0.365384615384615,597070,2025,0.666666666666667,0.333333333333333,0.112903225806452,0.0806451612903226,0.451612903225806,17,0.893920595533499
"665","Succ-Opp against Leadoff Batter","Andrew Melone","Jr","P","5-11","R/R",0,0,0,2,0,1,0,0,1,0,0,10,7,0,0,0,0,0,2,0,0,0,0,0,NA,3,3,0,0,0,0,0,7,0.142857142857143,597070,2025,0.5,0.5,0,0.1,0.4,1,0.542857142857143
"666","Hits-AB with runners ob","Andrew Melone","Jr","P","5-11","R/R",0,0,0,7,0,13,0,0,3,7,0,43,38,0,0,0,0,3,2,0,0,0,0,0,NA,3,12,0,0,0,2,0,38,0.342105263157895,597070,2025,0.8,0.2,0.162790697674419,0.0697674418604651,0.418604651162791,13,0.760709914320685
"667","Hits-AB vs lhb","Andrew Melone","Jr","P","5-11","R/R",0,0,0,1.2,0,3,0,0,0,1,0,10,9,0,0,0,0,1,1,0,0,0,0,0,NA,3,2,0,0,0,0,0,9,0.333333333333333,597070,2025,0.4,0.6,0.1,0,0.4,3,0.733333333333333
"668","Hits-AB w2outs","Andrew Melone","Jr","P","5-11","R/R",0,0,0,0,0,5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,5,Inf
"669","Bases Empty","Andrew Melone","Jr","P","5-11","R/R",0,0,0,3,0,6,0,0,2,0,0,19,15,1,0,0,1,0,2,0,0,0,0,0,NA,5,4,0,0,0,0,0,15,0.4,597070,2025,0.444444444444444,0.555555555555556,0,0.105263157894737,0.526315789473684,4,1.19298245614035
"670","H-AB scorepos","Andrew Melone","Jr","P","5-11","R/R",0,0,0,4.2,0,10,0,0,2,4,0,31,27,0,0,0,0,2,2,0,0,0,0,0,NA,1,9,0,0,0,1,0,27,0.37037037037037,597070,2025,0.9,0.1,0.129032258064516,0.0645161290322581,0.451612903225806,10,0.821983273596177
"671","H-AB scorepos2","Andrew Melone","Jr","P","5-11","R/R",0,0,0,2.1,0,4,0,0,2,3,0,14,12,0,0,0,0,1,0,0,0,0,0,0,NA,0,4,0,0,0,1,0,12,0.333333333333333,597070,2025,1,0,0.214285714285714,0.142857142857143,0.428571428571429,4,0.761904761904762
"672","H-AB runners2","Andrew Melone","Jr","P","5-11","R/R",0,0,0,2.2,0,4,0,0,2,5,0,16,14,0,0,0,0,2,0,0,0,0,0,0,NA,0,4,0,0,0,1,0,14,0.285714285714286,597070,2025,1,0,0.3125,0.125,0.375,4,0.660714285714286
"673","H-AB bases loaded","Andrew Melone","Jr","P","5-11","R/R",0,0,0,1.1,0,3,0,0,0,1,0,9,8,0,0,0,0,0,1,0,0,0,0,0,NA,0,3,0,0,0,0,0,8,0.375,597070,2025,1,0,0.111111111111111,0,0.444444444444444,3,0.819444444444444
"674","Hits-AB vs rhb","Andrew Melone","Jr","P","5-11","R/R",0,0,0,7.1,0,15,0,0,5,5,0,47,40,1,0,0,1,1,2,0,0,0,0,0,NA,5,12,0,0,0,2,0,40,0.375,597070,2025,0.705882352941177,0.294117647058824,0.106382978723404,0.106382978723404,0.468085106382979,13,0.943085106382979
"675","18","Alex Slezak","Sr","P","6-0","R/R",11,0,1.74,10.1,0,7,6,2,5,8,0,50,37,2,0,0,1,1,6,0,0,0,0,2,124,10,14,0,0,0,2,0,37,0.189189189189189,597070,2025,0.583333333333333,0.416666666666667,0.16,0.1,0.36,4,0.684324324324324
"676","Succ-Opp against Leadoff Batter","Alex Slezak","Sr","P","6-0","R/R",0,0,0,2,0,1,0,0,0,3,0,7,7,1,0,0,0,0,0,0,0,0,0,0,NA,0,3,0,0,0,1,0,7,0.142857142857143,597070,2025,1,0,0.428571428571429,0,0.142857142857143,0,0.428571428571429
"677","Hits-AB with runners ob","Alex Slezak","Sr","P","6-0","R/R",0,0,0,5.2,0,6,0,0,5,2,0,31,23,1,0,0,1,1,3,0,0,0,0,0,NA,5,10,0,0,0,1,0,23,0.260869565217391,597070,2025,0.666666666666667,0.333333333333333,0.0645161290322581,0.161290322580645,0.451612903225806,4,0.886395511921459
"678","Hits-AB vs lhb","Alex Slezak","Sr","P","6-0","R/R",0,0,0,2.2,0,2,0,0,1,2,0,11,10,0,0,0,0,0,0,0,0,0,0,0,NA,1,5,0,0,0,0,0,10,0.2,597070,2025,0.833333333333333,0.166666666666667,0.181818181818182,0.0909090909090909,0.272727272727273,2,0.472727272727273
"679","Hits-AB w2outs","Alex Slezak","Sr","P","6-0","R/R",0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597070,2025,NA,NA,NA,NA,Inf,4,Inf
"680","Bases Empty","Alex Slezak","Sr","P","6-0","R/R",0,0,0,4.2,0,1,0,0,0,6,0,19,16,1,0,0,0,0,3,0,0,0,0,0,NA,5,4,0,0,0,1,0,16,0.0625,597070,2025,0.444444444444444,0.555555555555556,0.31578947368421,0,0.210526315789474,0,0.335526315789474
"681","H-AB scorepos","Alex Slezak","Sr","P","6-0","R/R",0,0,0,4.1,0,5,0,0,4,1,0,25,18,1,0,0,0,1,3,0,0,0,0,0,NA,3,9,0,0,0,0,0,18,0.277777777777778,597070,2025,0.75,0.25,0.04,0.16,0.48,4,0.813333333333333
"682","H-AB scorepos2","Alex Slezak","Sr","P","6-0","R/R",0,0,0,2,0,3,0,0,2,0,0,13,9,1,0,0,0,1,2,0,0,0,0,0,NA,2,4,0,0,0,0,0,9,0.333333333333333,597070,2025,0.666666666666667,0.333333333333333,0,0.153846153846154,0.538461538461538,2,0.982905982905983
"683","H-AB runners2","Alex Slezak","Sr","P","6-0","R/R",0,0,0,2.2,0,4,0,0,3,0,0,17,12,1,0,0,1,1,2,0,0,0,0,0,NA,4,4,0,0,0,0,0,12,0.333333333333333,597070,2025,0.5,0.5,0,0.176470588235294,0.529411764705882,2,1.19607843137255
"684","H-AB bases loaded","Alex Slezak","Sr","P","6-0","R/R",0,0,0,0.2,0,1,0,0,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,3,0.333333333333333,597070,2025,1,0,0.2,0.4,0.6,1,0.933333333333333
"685","Hits-AB vs rhb","Alex Slezak","Sr","P","6-0","R/R",0,0,0,7.1,0,5,0,0,4,6,0,38,28,2,0,0,1,1,6,0,0,0,0,0,NA,8,9,0,0,0,2,0,28,0.178571428571429,597070,2025,0.529411764705882,0.470588235294118,0.157894736842105,0.105263157894737,0.394736842105263,2,0.75187969924812
