"","number","player","yr","pos","ht","b_t","app","gs","era","ip","cg","h","r","er","bb","so","sho","bf","p_oab","x2b_a","x3b_a","bk","hr_a","wp","hb","ibb","inh_run","inh_run_score","sha","sfa","pitches","go","fo","w","l","sv","kl","pickoffs","AB","BAA","team_id","year","flyout_perc","groundout_perc","k_perc","bb_perc","obp","x1b_a","ops"
"85","H-AB scorepos","Jake Harmony","So","P","-","R/R",0,0,0,11.2,0,9,0,0,4,10,0,49,44,3,0,0,0,0,1,0,0,0,0,0,NA,8,13,0,0,0,2,0,44,0.204545454545455,597157,2025,0.619047619047619,0.380952380952381,0.204081632653061,0.0816326530612245,0.285714285714286,6,0.558441558441558
"86","H-AB scorepos2","Jake Harmony","So","P","-","R/R",0,0,0,5.1,0,2,0,0,3,4,0,22,18,1,0,0,0,0,1,0,0,0,0,0,NA,5,6,0,0,0,2,0,18,0.111111111111111,597157,2025,0.545454545454545,0.454545454545455,0.181818181818182,0.136363636363636,0.272727272727273,1,0.439393939393939
"87","H-AB runners2","Jake Harmony","So","P","-","R/R",0,0,0,7,0,6,0,0,3,5,0,31,27,2,0,0,0,1,1,0,0,0,0,0,NA,5,9,0,0,0,3,0,27,0.222222222222222,597157,2025,0.642857142857143,0.357142857142857,0.161290322580645,0.0967741935483871,0.32258064516129,4,0.618876941457587
"88","H-AB bases loaded","Jake Harmony","So","P","-","R/R",0,0,0,2,0,1,0,0,0,2,0,7,7,1,0,0,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,7,0.142857142857143,597157,2025,0.666666666666667,0.333333333333333,0.285714285714286,0,0.142857142857143,0,0.428571428571429
"89","Hits-AB vs rhb","Jake Harmony","So","P","-","R/R",0,0,0,25.2,0,29,0,0,5,19,0,116,108,6,0,0,0,1,3,0,0,0,0,0,NA,31,22,0,0,0,9,0,108,0.268518518518519,597157,2025,0.415094339622642,0.584905660377358,0.163793103448276,0.0431034482758621,0.318965517241379,23,0.643039591315453
"90","47","Derek Roberts","So","P","-","R/R",6,0,5.4,8.1,0,9,5,5,1,11,0,35,34,1,0,0,0,1,0,0,0,0,0,0,145,6,6,0,0,1,2,0,34,0.264705882352941,597157,2025,0.5,0.5,0.314285714285714,0.0285714285714286,0.285714285714286,8,0.579831932773109
"91","Succ-Opp against Leadoff Batter","Derek Roberts","So","P","-","R/R",0,0,0,1.1,0,3,0,0,0,3,0,8,8,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,1,0,8,0.375,597157,2025,0,1,0.375,0,0.375,3,0.75
"92","Hits-AB with runners ob","Derek Roberts","So","P","-","R/R",0,0,0,4.2,0,5,0,0,1,6,0,20,19,0,0,0,0,1,0,0,0,0,0,0,NA,1,4,0,0,0,0,0,19,0.263157894736842,597157,2025,0.8,0.2,0.3,0.05,0.3,5,0.563157894736842
"93","Hits-AB w2outs","Derek Roberts","So","P","-","R/R",0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,1,Inf
"94","Bases Empty","Derek Roberts","So","P","-","R/R",0,0,0,3.2,0,4,0,0,0,5,0,16,16,1,0,0,0,0,0,0,0,0,0,0,NA,4,2,0,0,0,2,0,16,0.25,597157,2025,0.333333333333333,0.666666666666667,0.3125,0,0.25,3,0.5625
"95","H-AB scorepos","Derek Roberts","So","P","-","R/R",0,0,0,2.1,0,3,0,0,0,4,0,10,10,0,0,0,0,1,0,0,0,0,0,0,NA,0,2,0,0,0,0,0,10,0.3,597157,2025,1,0,0.4,0,0.3,3,0.6
"96","H-AB scorepos2","Derek Roberts","So","P","-","R/R",0,0,0,1.1,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,4,0,597157,2025,NA,NA,1,0,0,0,0
"97","H-AB runners2","Derek Roberts","So","P","-","R/R",0,0,0,1.1,0,1,0,0,0,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,6,0.166666666666667,597157,2025,NA,NA,0.666666666666667,0,0.166666666666667,1,0.333333333333333
"98","Hits-AB vs rhb","Derek Roberts","So","P","-","R/R",0,0,0,8.1,0,9,0,0,1,11,0,36,35,1,0,0,0,1,0,0,0,0,0,0,NA,5,6,0,0,0,2,0,35,0.257142857142857,597157,2025,0.545454545454545,0.454545454545455,0.305555555555556,0.0277777777777778,0.277777777777778,8,0.563492063492063
"99","16","Ben Gill","Fr","P","-","R/R",12,0,3.77,14.1,0,13,6,6,7,11,0,63,50,2,0,0,0,1,2,1,0,0,4,0,238,18,11,4,0,0,5,0,49,0.26530612244898,597157,2025,0.379310344827586,0.620689655172414,0.174603174603175,0.111111111111111,0.379310344827586,11,0.685432793807178
"100","Succ-Opp against Leadoff Batter","Ben Gill","Fr","P","-","R/R",0,0,0,2,0,4,0,0,2,0,0,12,10,1,0,0,0,0,0,0,0,0,0,0,NA,5,1,0,0,0,0,0,10,0.4,597157,2025,0.166666666666667,0.833333333333333,0,0.166666666666667,0.5,3,1
"101","Hits-AB with runners ob","Ben Gill","Fr","P","-","R/R",0,0,0,10,0,6,0,0,4,7,0,40,30,1,0,0,0,1,2,1,0,0,0,0,NA,13,7,0,0,0,4,0,33,0.181818181818182,597157,2025,0.35,0.65,0.175,0.1,0.307692307692308,5,0.51981351981352
"102","Hits-AB vs lhb","Ben Gill","Fr","P","-","R/R",0,0,0,0.2,0,3,0,0,0,1,0,5,5,2,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,1,0,5,0.6,597157,2025,1,0,0.2,0,0.6,1,1.6
"103","Hits-AB w2outs","Ben Gill","Fr","P","-","R/R",0,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,Inf,597157,2025,NA,NA,NA,NA,Inf,4,Inf
"104","Bases Empty","Ben Gill","Fr","P","-","R/R",0,0,0,4.1,0,7,0,0,3,4,0,23,20,1,0,0,0,0,0,0,0,0,0,0,NA,5,4,0,0,0,1,0,20,0.35,597157,2025,0.444444444444444,0.555555555555556,0.173913043478261,0.130434782608696,0.434782608695652,6,0.834782608695652
"105","H-AB scorepos","Ben Gill","Fr","P","-","R/R",0,0,0,7,0,5,0,0,2,5,0,29,24,0,0,0,0,1,1,1,0,0,0,0,NA,8,7,0,0,0,3,0,25,0.2,597157,2025,0.466666666666667,0.533333333333333,0.172413793103448,0.0689655172413793,0.285714285714286,5,0.485714285714286
"106","H-AB scorepos2","Ben Gill","Fr","P","-","R/R",0,0,0,3.1,0,2,0,0,2,1,0,14,12,0,0,0,0,0,0,1,0,0,0,0,NA,4,5,0,0,0,0,0,11,0.181818181818182,597157,2025,0.555555555555556,0.444444444444444,0.0714285714285714,0.142857142857143,0.307692307692308,2,0.48951048951049
"107","H-AB runners2","Ben Gill","Fr","P","-","R/R",0,0,0,4,0,3,0,0,2,2,0,17,15,1,0,0,0,0,0,1,0,0,0,0,NA,5,5,0,0,0,1,0,14,0.214285714285714,597157,2025,0.5,0.5,0.117647058823529,0.117647058823529,0.3125,2,0.598214285714286
"108","H-AB bases loaded","Ben Gill","Fr","P","-","R/R",0,0,0,1.1,0,1,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,0,0,0,1,0,5,0.2,597157,2025,0.666666666666667,0.333333333333333,0.2,0,0.2,1,0.4
"109","Hits-AB vs rhb","Ben Gill","Fr","P","-","R/R",0,0,0,13.2,0,9,0,0,7,10,0,57,44,0,0,0,0,1,2,1,0,0,0,0,NA,18,10,0,0,0,4,0,47,0.191489361702128,597157,2025,0.357142857142857,0.642857142857143,0.175438596491228,0.12280701754386,0.321428571428571,9,0.512917933130699
